frame,timestamp_sec,emotion,emotions_detail
280,11.790963069019245,happy,"{""angry"": 1.4229699729639833e-07, ""disgust"": 5.513877966577708e-16, ""fear"": 3.298090966996625e-10, ""happy"": 99.98455047607422, ""sad"": 4.3649169612081096e-08, ""surprise"": 2.8465847208281048e-05, ""neutral"": 0.015413976274430752}"
285,12.001515980966017,happy,"{""angry"": 4.9942336772801355e-06, ""disgust"": 1.3081882582408055e-12, ""fear"": 7.198348725978576e-07, ""happy"": 98.93099212646484, ""sad"": 4.718749187304638e-05, ""surprise"": 0.0032866366673260927, ""neutral"": 1.0656689405441284}"
290,12.21206889291279,happy,"{""angry"": 2.059618509520078e-06, ""disgust"": 8.272021847881283e-13, ""fear"": 3.68629071090254e-06, ""happy"": 99.20043182373047, ""sad"": 8.854137558955699e-05, ""surprise"": 0.0019731095526367426, ""neutral"": 0.7974954843521118}"
295,12.422621804859562,happy,"{""angry"": 5.283852442516945e-05, ""disgust"": 1.3854123404044572e-09, ""fear"": 4.0018317122303415e-06, ""happy"": 99.85700225830078, ""sad"": 5.574742681346834e-05, ""surprise"": 7.394186104647815e-05, ""neutral"": 0.14281900227069855}"
300,12.633174716806334,happy,"{""angry"": 0.0014739854959771037, ""disgust"": 2.9390175768639892e-05, ""fear"": 0.00033660302869975567, ""happy"": 97.33624267578125, ""sad"": 0.013456964865326881, ""surprise"": 0.0003701031091623008, ""neutral"": 2.6480908393859863}"
305,12.843727628753106,happy,"{""angry"": 0.1615014225244522, ""disgust"": 0.00022777673439122736, ""fear"": 0.005613191053271294, ""happy"": 95.08531951904297, ""sad"": 0.08087825775146484, ""surprise"": 0.0036029373295605183, ""neutral"": 4.6628594398498535}"
310,13.054280540699878,happy,"{""angry"": 0.00017212680540978909, ""disgust"": 2.8983055538889246e-11, ""fear"": 1.625917889214179e-06, ""happy"": 99.86697387695312, ""sad"": 0.0026596023235470057, ""surprise"": 0.0800524353981018, ""neutral"": 0.050140056759119034}"
315,13.26483345264665,happy,"{""angry"": 0.02957114763557911, ""disgust"": 1.9347942725289613e-05, ""fear"": 0.00913827121257782, ""happy"": 99.33094787597656, ""sad"": 0.02066214568912983, ""surprise"": 0.3075689971446991, ""neutral"": 0.3020838499069214}"
320,13.475386364593422,happy,"{""angry"": 0.01442702580243349, ""disgust"": 1.307215029555664e-07, ""fear"": 0.00014179399295244366, ""happy"": 99.97208404541016, ""sad"": 0.0007535367039963603, ""surprise"": 0.000598590646404773, ""neutral"": 0.011992644518613815}"
325,13.685939276540195,fear,"{""angry"": 0.0670330673456192, ""disgust"": 9.062712602939116e-13, ""fear"": 99.44253540039062, ""happy"": 0.008918775245547295, ""sad"": 0.4780537188053131, ""surprise"": 4.620735126081854e-06, ""neutral"": 0.003460000501945615}"
330,13.896492188486967,fear,"{""angry"": 0.0004585834685713053, ""disgust"": 6.770266849465638e-17, ""fear"": 99.69549560546875, ""happy"": 1.0294101002727984e-06, ""sad"": 0.2825990617275238, ""surprise"": 6.585839651407355e-10, ""neutral"": 0.021448511630296707}"
335,14.107045100433739,fear,"{""angry"": 2.24619398068171e-05, ""disgust"": 4.522303037578239e-20, ""fear"": 99.34444427490234, ""happy"": 2.9077493884921424e-11, ""sad"": 0.65407794713974, ""surprise"": 1.5324683796252847e-12, ""neutral"": 0.0014497209340333939}"
340,14.317598012380511,fear,"{""angry"": 0.001217131968587637, ""disgust"": 1.250869796198123e-14, ""fear"": 68.52008819580078, ""happy"": 1.1996272064607183e-07, ""sad"": 31.376436233520508, ""surprise"": 3.749326626945049e-09, ""neutral"": 0.10225652158260345}"
345,14.528150924327283,fear,"{""angry"": 0.00035540241515263915, ""disgust"": 9.61453630604495e-15, ""fear"": 65.66734313964844, ""happy"": 2.539138677093433e-07, ""sad"": 34.304019927978516, ""surprise"": 7.761882692136624e-09, ""neutral"": 0.028282197192311287}"
350,14.738703836274055,happy,"{""angry"": 1.7916405200958252, ""disgust"": 1.270917296409607, ""fear"": 8.572773933410645, ""happy"": 49.10652160644531, ""sad"": 15.933145523071289, ""surprise"": 0.0031899777241051197, ""neutral"": 23.32181739807129}"
355,14.949256748220828,fear,"{""angry"": 11.91052532196045, ""disgust"": 0.15317414700984955, ""fear"": 33.74760055541992, ""happy"": 24.540510177612305, ""sad"": 13.729461669921875, ""surprise"": 0.0008664042106829584, ""neutral"": 15.917865753173828}"
